library,count
numpy,127202.0
Pillow,80778.0
Requests,78148.0
setuptools,75892.0
pandas,66334.0
matplotlib,65298.0
scipy,36397.0
torch,35750.0
pytest,33553.0
Flask,33273.0
scikit_learn,33181.0
Django,30998.0
tqdm,28787.0
beautifulsoup4,20745.0
tensorflow,20468.0
PyYAML,18654.0
torchvision,16384.0
python-dotenv,15361.0
SQLAlchemy,11692.0
Click,11020.0
djangorestframework,11079.0
pygame,10148.0
seaborn,9826.0
selenium,9461.0
keras,8955.0
pydantic,8417.0
aiohttp,8174.0
discord.py,7864.0
fastapi,7718.0
nltk,7400.0
skimage,7087.0
protobuf,6535.0
flask_sqlalchemy,6504.0
Werkzeug,6454.0
six,6462.0
boto3,6331.0
PyQt5,5958.0
python_dateutil,5940.0
pymongo,5776.0
streamlit,5956.0
psutil,5736.0
plotly,5704.0
PyJWT,5582.0
h5py,5318.0
pytz,5331.0
transformers,5322.0
joblib,5240.0
pip,5044.0
colorama,5109.0
lxml,4721.0
networkx,4657.0
lib,4392.0
ipython,4341.0
Jinja2,4112.0
gym,4058.0
tensorboardX,3854.0
flask_cors,3778.0
psycopg2_binary,3745.0
urllib3,3691.0
flask_wtf,3516.0
WTForms,3435.0
rich,3416.0
openai,3434.0
flask_migrate,3322.0
uvicorn,3217.0
imageio,3145.0
redis,3093.0
alembic,3069.0
pyserial,2985.0
cryptography,2995.0
flask_login,2894.0
python-telegram-bot,2908.0
spacy,2845.0
python-decouple,2882.0
botocore,2849.0
environ,2586.0
tabulate,2619.0
pymysql,2558.0
openpyxl,2522.0
pyautogui,2549.0
pyttsx3,2537.0
wandb,2535.0
imutils,2511.0
google_api_python_client,2511.0
mock,2447.0
tweepy,2451.0
pyrogram,2467.0
termcolor,2448.0
loguru,2454.0
dj_database_url,2466.0
numba,2383.0
typing_extensions,2386.0
pydub,2337.0
Cython,2309.0
starlette,2252.0
gtts,2241.0
librosa,2172.0
statsmodels,2165.0
httpx,2185.0
config,2152.0
pycryptodome,2121.0
mysql_connector_repackaged,2109.0
sphinx_rtd_theme,2066.0
Sphinx,2048.0
Shapely,2036.0
ConfigParser,1984.0
pytorch_lightning,2015.0
azure_storage,1989.0
gensim,1955.0
factory,1872.0
dash,1902.0
flask_restful,1853.0
flask_bootstrap,1837.0
pyOpenSSL,1820.0
qrcode,1849.0
regex,1804.0
tornado,1771.0
Faker,1770.0
scrapy,1736.0
flask_script,1684.0
toml,1701.0
pycocotools,1716.0
apex,1717.0
sympy,1688.0
moviepy,1683.0
tiktoken,1692.0
GitPython,1640.0
django_heroku,1633.0
packaging,1578.0
aiofiles,1564.0
marshmallow,1559.0
typer,1565.0
pyperclip,1528.0
ujson,1506.0
passlib,1496.0
flask_mail,1462.0
paho_mqtt,1482.0
webdriver_manager,1486.0
board,1460.0
youtube_dl,1475.0
PyPDF2,1444.0
pytesseract,1434.0
websockets,1438.0
Bio,1419.0
importlib_metadata,1418.0
einops,1431.0
omegaconf,1397.0
apscheduler,1386.0
soundfile,1351.0
attrs,1348.0
emoji,1340.0
motor,1329.0
datasets,1329.0
machine,1323.0
pynput,1293.0
xgboost,1283.0
prettytable,1301.0
mediapipe,1291.0
timm,1302.0
simplejson,1278.0
Unidecode,1261.0
PySimpleGUI,1254.0
geopandas,1246.0
keyboard,1239.0
appdirs,1204.0
pyTelegramBotAPI,1207.0
geopy,1213.0
dlib,1174.0
Markdown,1181.0
astropy,1185.0
rest_framework_simplejwt,1188.0
fire,1186.0
pyaudio,1173.0
pytube,1187.0
wget,1160.0
kivy,1170.0
sentry_sdk,1147.0
jsonschema,1144.0
absl,1145.0
albumentations,1151.0
paramiko,1123.0
voluptuous,1111.0
playsound,1119.0
websocket_client,1105.0
dash_html_components,1104.0
python_bcrypt,1112.0
wechaty,1098.0
cx_Freeze,1096.0
wechaty_puppet,1095.0
schedule,1094.0
spotipy,1092.0
dash_core_components,1086.0
easydict,1079.0
azureml,1078.0
wikipedia,1079.0
google_auth_oauthlib,1077.0
pysilk,1054.0
homeassistant,1048.0
pyspark,1034.0
oauth2client,1000.0
xlrd,1026.0
std_msgs,997.0
gevent,991.0
uvloop,1007.0
langchain,1019.0
docutils,981.0
jieba,983.0
torchaudio,974.0
celery,968.0
torch_geometric,976.0
xmltodict,967.0
pyfiglet,970.0
onnxruntime,970.0
googletrans,946.0
onnx,975.0
yfinance,985.0
Pygments,945.0
eventlet,935.0
ipdb,942.0
utils,925.0
jose,923.0
xarray,917.0
praw,931.0
grpc,908.0
bpy,914.0
telethon,903.0
picamera,877.0
PyGithub,886.0
web3,886.0
docopt,881.0
python-socketio,881.0
hypothesis,877.0
torchsummary,899.0
PySide2,878.0
dash_bootstrap_components,887.0
drf_yasg,875.0
xlsxwriter,861.0
aiogram,891.0
wordcloud,869.0
elasticsearch,853.0
graphviz,846.0
ffmpeg,850.0
twilio,847.0
progressbar33,821.0
feedparser,817.0
mpi4py,808.0
face_recognition,819.0
hydra-core,805.0
yt_dlp,789.0
py2exe,789.0
dill,786.0
flask_bcrypt,784.0
torchmetrics,780.0
ray,789.0
web,783.0
PyGObject,767.0
open3d,746.0
langid,769.0
ruamel.base,753.0
gradio,747.0
invoke,741.0
watchdog,736.0
certifi,764.0
pypandoc,738.0
textblob,735.0
dulwich,749.0
wechatpy,750.0
nox,744.0
rdkit,737.0
async_timeout,730.0
colorlog,719.0
pyglet,728.0
thop,734.0
sentencepiece,727.0
Twisted,703.0
itsdangerous,705.0
docker_py,709.0
lightgbm,706.0
ipywidgets,710.0
chatgpt_tool_hub,722.0
PySide6,709.0
nibabel,715.0
bottle,705.0
win32gui,710.0
waitress,696.0
inference_schema,706.0
httplib2,679.0
scapy,696.0
bokeh,699.0
docx,686.0
mlflow,692.0
pyarrow,688.0
natsort,696.0
peewee,693.0
visdom,662.0
keyring,674.0
future,680.0
yacs,667.0
arrow,651.0
dask,651.0
utime,643.0
chardet,650.0
faiss,648.0
coloredlogs,645.0
jax,664.0
cloudpickle,634.0
torchtext,639.0
network,632.0
flask_jwt_extended,632.0
fuzzywuzzy,635.0
HTMLParser,628.0
tenacity,632.0
cherrypy,624.0
tinydb,630.0
imgaug,612.0
pyzmq,602.0
prometheus_client,615.0
heroku3,601.0
folium,594.0
gpiozero,593.0
fake_useragent,600.0
dnspython,590.0
more_itertools,586.0
flask_socketio,580.0
wheel,578.0
reportlab,587.0
gspread,578.0
sanic,577.0
MySQL-python,579.0
channels,577.0
pyqtgraph,574.0
sentence_transformers,582.0
django_storages,557.0
PyOpenGL,574.0
firebase_admin,577.0
lmdb,573.0
environs,567.0
trimesh,562.0
pika,556.0
rasterio,554.0
cupy,545.0
flask_moment,543.0
imblearn,561.0
sounddevice,551.0
requests_oauthlib,551.0
freezegun,552.0
altair,577.0
recommonmark,551.0
xmlrpclib,546.0
nose,531.0
validators,561.0
itemadapter,550.0
cachetools,544.0
pytgcalls,539.0
drf_spectacular,541.0
flask_httpauth,519.0
pyodbc,529.0
coverage,525.0
pyproj,529.0
tensorflow_hub,528.0
torch_scatter,524.0
xlwt,522.0
pykeyboard,520.0
smbus,511.0
orjson,526.0
cloudinary,560.0
filelock,512.0
